# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
義姉	ぎし	嫂子；大姑子
義歯	ぎし	假牙
偽証	ぎしょう	伪证；假证
疑心	ぎしん	疑心；怀疑
議事	ぎじ	议事，议程
疑似	ぎじ	疑似；类似
技術者	ぎじゅつしゃ	技术人员；工程师
技術的	ぎじゅつてき	技术上的
技術力	ぎじゅつりょく	技术实力
議場	ぎじょう	会场；议会大厅
議事録	ぎじろく	会议记录
議席	ぎせき	议席
偽装	ぎそう	伪装；假装
ギタリスト	ぎたりすと	吉他手
犠打	ぎだ	牺牲打
義太夫	ぎだゆう	义太夫（净琉璃说唱曲调）
義弟	ぎてい	妹夫；小叔子
議定書	ぎていしょ	议定书
疑念	ぎねん	疑虑，疑念
犠飛	ぎひ	牺牲高飞球
義父	ぎふ	岳父，公公；继父
岐阜	ぎふ	岐阜（地名）
ギフト	ぎふと	礼物
ギブアップ	ぎぶあっぷ	放弃，认输
ギプス	ぎぷす	石膏绷带
技法	ぎほう	技法
義母	ぎぼ	岳母，婆婆；继母
義妹	ぎまい	弟媳；小姑子
気味	ぎみ	有点…，稍显…
義務教育	ぎむきょういく	义务教育
義務付け	ぎむづけ	使…成为义务；规定义务
疑問点	ぎもんてん	疑点
疑問符	ぎもんふ	问号
逆効果	ぎゃくこうか	反效果；适得其反
虐殺	ぎゃくさつ	虐杀，屠杀
逆襲	ぎゃくしゅう	反击，反攻
逆説	ぎゃくせつ	悖论；似是而非的论调
逆手	ぎゃくて	反手；反握法
逆転勝ち	ぎゃくてんがち	反败为胜
逆風	ぎゃくふう	逆风；不利形势
逆戻り	ぎゃくもどり	倒退；复原，回到原状
逆輸入	ぎゃくゆにゅう	反向进口，回头进口
ギャグ	ぎゃぐ	笑料；插科打诨
ギャラリー	ぎゃらりー	画廊；（高尔夫等）观众
ギャル	ぎゃる	辣妹（时髦少女）
ギャルソン	ぎゃるそん	男侍者，男服务生
ギャロッピングインフレ	ぎゃろっぴんぐいんふれ	恶性通货膨胀
ギャンブラー	ぎゃんぶらー	赌徒
ぎゅうぎゅう	ぎゅうぎゅう	吱吱嘎嘎；塞得满满的
牛舎	ぎゅうしゃ	牛棚，牛舍
牛丼	ぎゅうどん	牛肉盖饭
牛歩	ぎゅうほ	蜗牛般的速度；进展缓慢
義勇	ぎゆう	义勇
原発	げんぱつ	核电站；核能发电
現物	げんぶつ	实物，现货
減俸	げんぽう	减薪，降薪
原本	げんぽん	原本，底本；原来，原本
玄米	げんまい	糙米
言明	げんめい	声明，明言
幻滅	げんめつ	幻灭，理想破灭
減免	げんめん	减免
原野	げんや	原野，荒野
現有	げんゆう	现有，现存
源流	げんりゅう	源流，发源地；根源
元老	げんろう	元老
元禄	げんろく	元禄（年号，1688-1704）
現～	げん～	现，现任
ゲージ	げーじ	量规，量规器；规格
ゲート	げーと	门，闸门
ゲートボール	げーとぼーる	门球
ゲームセット	げーむせっと	比赛结束
個	こ	个（量词）
小	こ	小，略小；稍微
コア	こあ	核心
コアビタシオン	こあびたしおん	同居
コアラ	こあら	考拉
故意	こい	故意
鯉	こい	鲤鱼
恋心	こいごころ	恋慕之心，爱意
小石	こいし	小石头，石子
こいつ|此奴	こいつ	这家伙
こいつら|こいつ等	こいつら	这些家伙
恋文	こいぶみ	情书
コイル	こいる	线圈
コインロッカー	こいんろっかー	投币式寄物柜
侯	こう	侯（爵位）
稿	こう	稿子，草稿
乞う	こう	乞求，请求
高圧	こうあつ	高压
公安	こうあん	公安，治安
考案	こうあん	设计，构思
公安委員会	こうあんいいんかい	公安委员会
厚意	こうい	厚意，好意
皇位	こうい	皇位
高位	こうい	高位，高级；高位（数）
広域	こういき	广域，大范围
更衣室	こういしつ	更衣室
後遺症	こういしょう	后遗症
こういった|こう言った	こういった	这样的，这种
行員	こういん	银行职员
降雨	こうう	降雨
光栄	こうえい	光荣，荣幸
公益	こうえき	公益
公益法人	こうえきほうじん	公益法人
校閲	こうえつ	校阅，审校
後援	こうえん	后援，支持
講演会	こうえんかい	演讲会，讲座
高音	こうおん	高音
工科	こうか	工科
校歌	こうか	校歌
降下	こうか	降下，下降
高架	こうか	高架
公海	こうかい	公海
公開	こうかい	公开
更改	こうかい	更改，续订
公開中	こうかいちゅう	公开中，上映中
公会堂	こうかいどう	公会堂，市民会馆
降格	こうかく	降级，降职
効果的	こうかてき	有效的
公館	こうかん	官邸，公馆
高官	こうかん	高官
好感度	こうかんど	好感度
光学	こうがく	光学
高額	こうがく	高额，大额
光学式文字認識	こうがくしきもじにんしき	光学字符识别
高学年	こうがくねん	高年级
工学部	こうがくぶ	工学院，工程系
後期	こうき	后期
光輝	こうき	光辉
好機	こうき	良机，好机会
校旗	こうき	校旗
綱紀	こうき	纲纪，法纪
香気	こうき	香气
恒久	こうきゅう	恒久，永久
高給	こうきゅう	高薪
高級ホテル	こうきゅうほてる	高级酒店
交響楽団	こうきょうがくだん	交响乐团
交響曲	こうきょうきょく	交响曲
公共放送	こうきょうほうそう	公共广播
公共料金	こうきょうりょうきん	公共事业费
公金	こうきん	公款
抗菌	こうきん	抗菌
拘禁	こうきん	拘禁，监禁
鉱区	こうく	矿区
航空機	こうくうき	飞机，航空器
航空自衛隊	こうくうじえいたい	（日本）航空自卫队
航空母艦	こうくうぼかん	航空母舰
後継	こうけい	继承，后继
口径	こうけい	口径
好景気	こうけいき	景气，繁荣
高潔	こうけつ	高洁，高尚
後見	こうけん	监护，监护人
高見	こうけん	高见，卓识
抗原	こうげん	抗原
公庫	こうこ	（政府）金融公库
航行	こうこう	航行
高校; 高等学校	こうこう; こうとうがっこう	高中
抗告	こうこく	抗告，上诉
口語	こうご	口语，白话
皇后	こうごう	皇后
光彩	こうさい	光彩
公債	こうさい	公债
高裁	こうさい	高等法院
交際費	こうさいひ	交际费，应酬费
交錯	こうさく	交错
工作員	こうさくいん	特工，间谍
工作機械	こうさくきかい	机床
絞殺	こうさつ	勒死，绞杀
考察	こうさつ	考察，研究
公算	こうさん	概率，可能性
降参	こうさん	投降，屈服
鋼材	こうざい	钢材
口座番号	こうざばんごう	账号
高山	こうざん	高山
格子	こうし	格子
公使	こうし	公使
公子	こうし	公子
公私	こうし	公私
子牛	こうし	小牛，牛犊
甲子園	こうしえん	甲子园（棒球场）
硬式	こうしき	硬式（网球、棒球等）
公式サイト	こうしきさいと	官方网站
公式戦	こうしきせん	正式比赛
皇室	こうしつ	皇室
硬質	こうしつ	硬质
公社	こうしゃ	公社，公营公司
巧者	こうしゃ	能手，高手
公舎	こうしゃ	公家宿舍，官舍
侯爵	こうしゃく	侯爵
公爵	こうしゃく	公爵
公社債	こうしゃさい	公司债和公债
攻守	こうしゅ	攻守
甲種	こうしゅ	甲种，一等
好守	こうしゅ	好防守
公衆衛生	こうしゅうえいせい	公共卫生
高収入	こうしゅうにゅう	高收入
絞首刑	こうしゅけい	绞刑
公称	こうしょう	公称，名义上
厚相	こうしょう	厚生大臣（旧称）
考証	こうしょう	考证
公職	こうしょく	公职
好色	こうしょく	好色，多情
交信	こうしん	通讯，联络
後進	こうしん	后辈，晚辈；后退
興信所	こうしんじょ	征信所，调查事务所
公示	こうじ	公示，公告
麹	こうじ	曲，酒曲
工事中	こうじちゅう	施工中
皇女	こうじょ	皇女，公主
口上	こうじょう	口头致辞，开场白
恒常	こうじょう	恒常，经常
甲状腺	こうじょうせん	甲状腺
公序良俗	こうじょりょうぞく	公共秩序与善良风俗
公人	こうじん	公众人物，公职人员
高水準	こうすいじゅん	高水平
降水量	こうすいりょう	降水量
こうすると	こうすると	这样一来
こうすれば	こうすれば	这样的话
構図	こうず	构图
講ずる	こうずる	讲授；采取（措施）
後世	こうせい	后世，后代
恒星	こうせい	恒星
攻勢	こうせい	攻势
更正	こうせい	更正，改正
更生	こうせい	更生，重新做人；再生
校正	こうせい	校对，校正
厚生省	こうせいしょう	（旧）厚生省
好成績	こうせいせき	好成绩
厚生年金	こうせいねんきん	厚生年金（福利养老金）
高性能	こうせいのう	高性能
厚生労働省	こうせいろうどうしょう	（日本）厚生劳动省
公設	こうせつ	公设，公立
巧拙	こうせつ	巧拙，高低
降雪	こうせつ	降雪
交戦	こうせん	交战
公選	こうせん	公选，民选
抗戦	こうせん	抗战
公訴	こうそ	公诉
高僧	こうそう	高僧
校則	こうそく	校规
梗塞	こうそく	梗塞
高速度	こうそくど	高速
構造物	こうぞうぶつ	构筑物，建筑物
後続	こうぞく	后续
皇族	こうぞく	皇族
抗体	こうたい	抗体
皇太后	こうたいごう	皇太后
皇太子	こうたいし	皇太子
皇太子妃	こうたいしひ	太子妃
広大	こうだい	广大，广阔
講談	こうだん	讲谈（评书式说书）
拘置	こうち	拘留，羁押
高地	こうち	高地，高原
構築	こうちく	构筑，构建
拘置所	こうちしょ	拘留所，看守所
紅潮	こうちょう	脸红，泛红
公聴会	こうちょうかい	公听会，听证会
硬直	こうちょく	僵硬，僵化
交通費	こうつうひ	交通费
好都合	こうつごう	方便，有利
公定	こうてい	官定，法定
公邸	こうてい	官邸
工程	こうてい	工序，工程进度
皇帝	こうてい	皇帝
行程	こうてい	行程，路程
高低	こうてい	高低，起伏
公定歩合	こうていぶあい	（银行）法定贴现率
更迭	こうてつ	更迭，撤换
鋼鉄	こうてつ	钢铁
好転	こうてん	好转
好天	こうてん	好天气
後天的	こうてんてき	后天的，习得的
好投	こうとう	投球出色
高等教育	こうとうきょういく	高等教育
口頭弁論	こうとうべんろん	口头辩论（庭审）
硬度	こうど	硬度
坑道	こうどう	坑道，矿井巷道
校内	こうない	校内
港内	こうない	港内
抗日	こうにち	抗日
後任	こうにん	继任者，后任
公認会計士	こうにんかいけいし	注册会计师
高熱	こうねつ	高烧；高温
光年	こうねん	光年
更年期	こうねんき	更年期
効能	こうのう	功效，效用
硬派	こうは	强硬派；硬派（男子作风）
紅白	こうはく	红白
後発	こうはつ	后发，晚出发；后进厂商
公判	こうはん	公审，审判
広範	こうはん	广泛
鋼板	こうはん	钢板
広範囲	こうはんい	广泛的范围
後半戦	こうはんせん	下半场
紅梅	こうばい	红梅
購買力	こうばいりょく	购买力
降板	こうばん	（投手）被换下场；辞职，下台
公費	こうひ	公费
工費	こうひ	工程费用
高品質	こうひんしつ	高品质
公布	こうふ	公布，颁布
後部	こうぶ	后部，后方
公文	こうぶん	公文
公文書	こうぶんしょ	公文，公文书
工兵	こうへい	工兵
後方	こうほう	后方
公報	こうほう	公报
工法	こうほう	施工方法
航法	こうほう	航海（航空）术，导航
高峰	こうほう	高峰
広報	こうほう	公关，宣传
候補者	こうほしゃ	候选人
酵母	こうぼ	酵母
工房	こうぼう	工坊，工作室
攻防	こうぼう	攻防
光明	こうみょう	光明，希望
公民	こうみん	公民；公民（学科）
公民館	こうみんかん	公民馆，社区活动中心
公民権	こうみんけん	公民权
皇民党	こうみんとう	皇民党
工務	こうむ	工程事务
公明	こうめい	公正，光明磊落；公明党（简称）
高名	こうめい	著名，有名
公明党	こうめいとう	公明党（日本政党）
校門	こうもん	校门
紺屋	こうや	染坊，染匠
荒野	こうや	荒野，荒原
公約	こうやく	公约，竞选承诺
交友	こうゆう	交友，朋友
公有	こうゆう	公有
高揚	こうよう	高涨，昂扬
広葉樹	こうようじゅ	阔叶树
高麗	こうらい	高丽
小売価格	こうりかかく	零售价
高率	こうりつ	高比率
効率的	こうりつてき	高效的
小売り店	こうりてん	零售店
攻略	こうりゃく	攻略，攻占
興隆	こうりゅう	兴隆，兴盛
稿料	こうりょう	稿费，稿酬
綱領	こうりょう	纲领
香料	こうりょう	香料
後列	こうれつ	后排
航路	こうろ	航线，航路
高炉	こうろ	高炉
功労	こうろう	功劳
